image,image_size,m,kind,notes,scale,topology,mock_backend,basis_gates,transpile_optimization_level,num_qubits,depth,cx,transpiled_gate_count,single_qubit_gates
test_4x4,4,4,struct_vchain,full prep + H on position,1,unconstrained,,"cx,rz,sx",3,8,839,331,958,627
test_8x8,8,6,struct_vchain,full prep + H on position,1,unconstrained,,"cx,rz,sx",3,12,5423,2147,6068,3921
test_16x16,16,8,struct_vchain,full prep + H on position,1,unconstrained,,"cx,rz,sx",3,16,29435,11663,32014,20351
test_4x4,4,4,struct_naive_full,full naive prep (4×4 only),1,unconstrained,,"cx,rz,sx",3,6,2436,1160,2986,1826
test_4x4,4,4,struct_naive_slice,"one address-0 slice, theta=pi/4",1,unconstrained,,"cx,rz,sx",3,6,162,74,211,137
test_4x4,4,4,struct_naive_slice_scaled,slice stats × N_pix=16 (linear MCX scaling estimate),16,unconstrained,,"cx,rz,sx",3,6,2592,1184,3376,2192
test_8x8,8,6,struct_naive_slice,"one address-0 slice, theta=pi/4",1,unconstrained,,"cx,rz,sx",3,8,421,222,572,350
test_8x8,8,6,struct_naive_slice_scaled,slice stats × N_pix=64 (linear MCX scaling estimate),64,unconstrained,,"cx,rz,sx",3,8,26944,14208,36608,22400
test_16x16,16,8,struct_naive_slice,"one address-0 slice, theta=pi/4",1,unconstrained,,"cx,rz,sx",3,10,897,446,1182,736
test_16x16,16,8,struct_naive_slice_scaled,slice stats × N_pix=256 (linear MCX scaling estimate),256,unconstrained,,"cx,rz,sx",3,10,229632,114176,302592,188416
