image,image_size,m,kind,notes,scale,topology,mock_backend,basis_gates,transpile_optimization_level,num_qubits,depth,cx,transpiled_gate_count,single_qubit_gates
test_4x4,4,4,struct_vchain,full prep + H on position (linear mock layout),1,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,8,1146,596,1496,900
test_8x8,8,6,struct_vchain,full prep + H on position (linear mock layout),1,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,12,7450,3996,9098,5102
test_16x16,16,8,struct_vchain,full prep + H on position (linear mock layout),1,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,16,40733,22224,46919,24695
test_4x4,4,4,struct_naive_full,full naive prep (4×4 only) (linear mock layout),1,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,6,5233,3516,6771,3255
test_4x4,4,4,struct_naive_slice,"one address-0 slice, theta=pi/4 (linear mock layout)",1,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,6,292,202,411,209
test_4x4,4,4,struct_naive_slice_scaled,slice stats × N_pix=16 (linear MCX scaling estimate; linear mock layout),16,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,6,4672,3232,6576,3344
test_8x8,8,6,struct_naive_slice,"one address-0 slice, theta=pi/4 (linear mock layout)",1,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,8,756,652,1326,674
test_8x8,8,6,struct_naive_slice_scaled,slice stats × N_pix=64 (linear MCX scaling estimate; linear mock layout),64,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,8,48384,41728,84864,43136
test_16x16,16,8,struct_naive_slice,"one address-0 slice, theta=pi/4 (linear mock layout)",1,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,10,1654,1334,2837,1503
test_16x16,16,8,struct_naive_slice_scaled,slice stats × N_pix=256 (linear MCX scaling estimate; linear mock layout),256,generic_linear_chain,GenericBackendV2(seed=42),"cx,rz,sx",3,10,423424,341504,726272,384768
