image,method,noise_mode,noise_scale,p_depol_1q,p_depol_2q,t1,t2,readout_prob_01,readout_prob_10,topology,mock_backend,mock_backend_seed,transpile_optimization_level,seed_transpiler,m,total_qubits,wall_s,fidelity,psnr,ssim
test_4x4,naive,synthetic,0.0,0.0,0.0,,,0.0,0.0,full,generic_linear,42,0,,4,6,0.3256602000001294,1.00000000000037,inf,1.0
test_4x4,vchain,synthetic,0.0,0.0,0.0,,,0.0,0.0,full,generic_linear,42,0,,4,8,0.15619430000151624,1.0000000000000884,inf,1.0
test_4x4,naive,synthetic,0.05,0.0002,0.001,,,0.0,0.0,full,generic_linear,42,0,,4,6,0.5210095000002184,0.2588394346588972,8.784367482315986,0.5081146423292826
test_4x4,vchain,synthetic,0.05,0.0002,0.001,,,0.0,0.0,full,generic_linear,42,0,,4,8,0.1877959000012197,0.5103678792644323,12.93235966552853,0.8429294156439884
test_4x4,naive,synthetic,0.1,0.0004,0.002,,,0.0,0.0,full,generic_linear,42,0,,4,6,0.5134254000004148,0.08757405257135252,7.060040082196082,0.22503112950381832
test_4x4,vchain,synthetic,0.1,0.0004,0.002,,,0.0,0.0,full,generic_linear,42,0,,4,8,0.21112509999875329,0.2728501684261324,10.344995524099346,0.6792088230789947
test_4x4,naive,synthetic,0.15,0.0006,0.003,,,0.0,0.0,full,generic_linear,42,0,,4,6,0.5172158000023046,0.0461764935398946,6.458553604417361,0.10083046484259035
test_4x4,vchain,synthetic,0.15,0.0006,0.003,,,0.0,0.0,full,generic_linear,42,0,,4,8,0.20864499999879627,0.15605405025121133,8.98050070608749,0.5330178423872451
test_4x4,naive,synthetic,0.2,0.0008,0.004,,,0.0,0.0,full,generic_linear,42,0,,4,6,0.5182175999980245,0.03556343115255503,6.206104814368452,0.04455919729399499
test_4x4,vchain,synthetic,0.2,0.0008,0.004,,,0.0,0.0,full,generic_linear,42,0,,4,8,0.22639410000192584,0.0976439073716683,8.144097058198128,0.4146727636072852
test_8x8,naive,synthetic,0.0,0.0,0.0,,,0.0,0.0,full,generic_linear,42,0,,6,8,4.950321299998905,1.0000000000007794,inf,1.0
test_8x8,vchain,synthetic,0.0,0.0,0.0,,,0.0,0.0,full,generic_linear,42,0,,6,12,74.87045070000022,1.0000000000005667,inf,1.0
test_8x8,naive,synthetic,0.05,0.0002,0.001,,,0.0,0.0,full,generic_linear,42,0,,6,8,5.26436939999985,0.007808797595391284,7.882337435585249,0.00817388707998945
test_8x8,vchain,synthetic,0.05,0.0002,0.001,,,0.0,0.0,full,generic_linear,42,0,,6,12,71.2547663999976,0.025687816725247475,8.500211482056542,0.13457497882559202
test_8x8,naive,synthetic,0.1,0.0004,0.002,,,0.0,0.0,full,generic_linear,42,0,,6,8,6.091362499999377,0.0078118732257258525,7.884882363391711,0.005944061059669407
test_8x8,vchain,synthetic,0.1,0.0004,0.002,,,0.0,0.0,full,generic_linear,42,0,,6,12,74.15582710000308,0.008769822517453217,7.960287523537957,0.02316862109686494
test_8x8,naive,synthetic,0.15,0.0006,0.003,,,0.0,0.0,full,generic_linear,42,0,,6,8,5.242238599999837,0.007812494333964796,7.8827668276280605,0.0058122633651503325
test_8x8,vchain,synthetic,0.15,0.0006,0.003,,,0.0,0.0,full,generic_linear,42,0,,6,12,72.29305720000048,0.007914607087676552,7.889283413998356,0.007039815797410392
test_8x8,naive,synthetic,0.2,0.0008,0.004,,,0.0,0.0,full,generic_linear,42,0,,6,8,5.357954300001438,0.007812519910521872,7.901200161813421,0.005691450505005376
test_8x8,vchain,synthetic,0.2,0.0008,0.004,,,0.0,0.0,full,generic_linear,42,0,,6,12,72.25584919999892,0.007824747723964815,7.867348170857596,0.001206108952882461
test_16x16,naive,synthetic,0.0,0.0,0.0,,,0.0,0.0,full,generic_linear,42,0,,8,10,176.9153191000005,1.0000000000114384,inf,1.0
test_16x16,naive,synthetic,0.05,0.0002,0.001,,,0.0,0.0,full,generic_linear,42,0,,8,10,177.52678220000234,0.001953147484568141,8.195055075652455,0.015125800814558858
test_16x16,naive,synthetic,0.1,0.0004,0.002,,,0.0,0.0,full,generic_linear,42,0,,8,10,195.5788515000022,0.0019531478413212593,8.194616052198924,0.015115337747643422
test_16x16,naive,synthetic,0.15,0.0006,0.003,,,0.0,0.0,full,generic_linear,42,0,,8,10,218.2057836999993,0.001953147841501088,8.208246458657506,0.013727896899531522
test_16x16,naive,synthetic,0.2,0.0008,0.004,,,0.0,0.0,full,generic_linear,42,0,,8,10,278.8715336999994,0.0019531478416351796,8.213916396885622,0.016287529150361395
