image,method,noise_mode,noise_scale,p_depol_1q,p_depol_2q,topology,mock_backend,mock_backend_seed,transpile_optimization_level,seed_transpiler,edge_psnr,edge_ssim,m,total_qubits,wall_s,fidelity,psnr,ssim
test_4x4,naive,synthetic,0.0,0.0,0.0,linear,generic_linear,42,3,,5.685017513473284,0.1958100859102219,4,6,0.68182140000863,0.12500000482224521,4.262504499323057,0.004440326464863031
test_4x4,vchain,synthetic,0.0,0.0,0.0,linear,generic_linear,42,3,,3.669841581420634,-0.10752643109457292,4,8,0.3991987999761477,0.0625000033407316,5.251499287072562,0.10699363193044054
test_4x4,naive,synthetic,0.05,0.0002,0.001,linear,generic_linear,42,3,,5.660281860112946,0.1951444767564635,4,6,1.1435693000094034,0.034786459698881375,6.020533124945516,0.0032097741805438944
test_4x4,vchain,synthetic,0.05,0.0002,0.001,linear,generic_linear,42,3,,2.0442063651487103,-0.14124171260300566,4,8,0.5389729000162333,0.05042515827199973,6.020533124945516,0.00320926653315632
test_4x4,naive,synthetic,0.1,0.0004,0.002,linear,generic_linear,42,3,,6.826038616249825,0.1668779251305357,4,6,1.1232873999979347,0.0319273508597872,6.053988779105694,0.016207834017286316
test_4x4,vchain,synthetic,0.1,0.0004,0.002,linear,generic_linear,42,3,,2.0442063651487103,-0.14124171260300566,4,8,0.493875999993179,0.043138334785726616,6.020533124945516,0.00320926653315632
test_4x4,naive,synthetic,0.15,0.0006,0.003,linear,generic_linear,42,3,,5.660281860112946,0.1951444767564635,4,6,1.186072200012859,0.03125932922355148,6.020533124945516,0.0032097741805438944
test_4x4,vchain,synthetic,0.15,0.0006,0.003,linear,generic_linear,42,3,,6.388406040184634,0.21943073300743712,4,8,0.5360908000147901,0.05065241717995589,6.017912493822067,0.0068212177994755735
test_4x4,naive,synthetic,0.2,0.0008,0.004,linear,generic_linear,42,3,,11.8789657069281,0.5797070614257195,4,6,1.1582058999920264,0.03130402559731215,6.017195017127925,0.003209543825902975
test_4x4,vchain,synthetic,0.2,0.0008,0.004,linear,generic_linear,42,3,,6.214355082021157,0.16948565534511317,4,8,0.6116134999901988,0.04292252704755873,6.025795853181521,0.009926846720402876
test_8x8,naive,synthetic,0.0,0.0,0.0,linear,generic_linear,42,3,,6.6538471790694445,0.163440838690678,6,8,17.61900589999277,0.999999999999883,inf,1.0
test_8x8,vchain,synthetic,0.0,0.0,0.0,linear,generic_linear,42,3,,7.838107526956222,0.03219391507566906,6,12,79.99572989996523,0.06662213838476592,4.347474840318299,0.060407871850313405
test_8x8,naive,synthetic,0.05,0.0002,0.001,linear,generic_linear,42,3,,5.986343292999287,-0.0053519645232074226,6,8,19.98941169999307,0.007812519779917832,7.886485728347893,0.0047152919305203985
test_8x8,vchain,synthetic,0.05,0.0002,0.001,linear,generic_linear,42,3,,7.437326002625319,-0.005529311155028447,6,12,75.90536689996952,0.011414980720697831,7.991134119853925,0.023939947408314774
test_8x8,naive,synthetic,0.1,0.0004,0.002,linear,generic_linear,42,3,,6.9631233850449235,5.882348947963278e-06,6,8,16.58469420002075,0.00781251988500865,7.903324698109074,0.0058234980351908475
test_8x8,vchain,synthetic,0.1,0.0004,0.002,linear,generic_linear,42,3,,7.392927259217039,-0.09465041848529096,6,12,71.85512009996455,0.008216879599045473,7.918264394510182,0.010759729037214392
test_8x8,naive,synthetic,0.15,0.0006,0.003,linear,generic_linear,42,3,,6.9631233850449235,5.882348947963278e-06,6,8,19.308761599997524,0.007812519771052365,7.903324698109074,0.0058234980351908475
test_8x8,vchain,synthetic,0.15,0.0006,0.003,linear,generic_linear,42,3,,3.5514432256310187,-0.27171232613998814,6,12,83.22657980001532,0.008151572561677032,7.893033598724713,0.004161840622585872
test_8x8,naive,synthetic,0.2,0.0008,0.004,linear,generic_linear,42,3,,6.9631233850449235,5.882348947963278e-06,6,8,17.36177849996602,0.007812519771117025,7.903324698109074,0.0058234980351908475
test_8x8,vchain,synthetic,0.2,0.0008,0.004,linear,generic_linear,42,3,,8.461961208022387,0.020359668983772165,6,12,86.04879700002493,0.007825538037783644,7.899398339628966,0.008663413981087041
test_16x16,naive,synthetic,0.0,0.0,0.0,linear,generic_linear,42,3,,10.097115449490133,0.06499862367871401,8,10,479.3641823999933,0.25208895767081924,6.896179327203768,0.007702128501466301
test_16x16,naive,synthetic,0.05,0.0002,0.001,linear,generic_linear,42,3,,10.345001173388653,-0.009160957253629021,8,10,600.9150062999688,0.0019531478418323674,8.206602679808931,0.015880961891427677
test_16x16,naive,synthetic,0.1,0.0004,0.002,linear,generic_linear,42,3,,11.17721490076164,0.037322966287100044,8,10,469.69604100001743,0.0019531478409922677,8.221154112067723,0.015440832877520818
test_16x16,naive,synthetic,0.15,0.0006,0.003,linear,generic_linear,42,3,,10.981824286486102,0.01593344040783141,8,10,414.6564701999887,0.0019531478415012364,8.217298380310133,0.015459861972622774
test_16x16,naive,synthetic,0.2,0.0008,0.004,linear,generic_linear,42,3,,10.908302398067988,-0.09769018027596273,8,10,388.49754660000326,0.001953147841797135,8.219063939451779,0.015398652630086386
