image,method,noise_mode,noise_scale,preset_name,preset_description,yaml_preset,topology,mock_backend,mock_backend_seed,transpile_optimization_level,seed_transpiler,edge_psnr,edge_ssim,m,total_qubits,wall_s,fidelity,psnr,ssim
test_4x4,naive,yaml_preset,0.0,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,2.073781115827927,-0.14144764707924,4,6,0.6343581000110134,0.12500000482224505,4.2511578630300875,-0.0008624299480972895
test_4x4,vchain,yaml_preset,0.0,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,3.669841581420634,-0.10752643109457292,4,8,0.36097979999613017,0.0625000033407316,5.251499287072562,0.10699363193044054
test_4x4,naive,yaml_preset,0.05,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,5.948978304985147,0.08336854785626693,4,6,0.8278065000195056,0.037359935955686846,6.044727493063348,0.02076767736722527
test_4x4,vchain,yaml_preset,0.05,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,2.0442063651487103,-0.14124171260300566,4,8,0.3811190000269562,0.05042515827199973,6.020533124945516,0.00320926653315632
test_4x4,naive,yaml_preset,0.1,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,6.8549777738452775,0.32165730553692556,4,6,0.8181372000253759,0.031930492551804204,6.04481144503864,0.01358853630198602
test_4x4,vchain,yaml_preset,0.1,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,2.0442063651487103,-0.14124171260300566,4,8,0.33717189996968955,0.043138334785726616,6.020533124945516,0.00320926653315632
test_4x4,naive,yaml_preset,0.15,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,7.09009562551649,0.2882267068027148,4,6,0.8165288000018336,0.03140427186717333,6.033995016303777,0.007964267463771445
test_4x4,vchain,yaml_preset,0.15,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,2.0442063651487103,-0.14124171260300566,4,8,0.3793342999997549,0.038707430759707284,6.020533124945516,0.00320926653315632
test_4x4,naive,yaml_preset,0.2,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,5.712351565531279,0.1500950991192944,4,6,0.8204853000352159,0.03130551989624047,6.020850378680599,0.005441543301103505
test_4x4,vchain,yaml_preset,0.2,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,6.214355082021157,0.16948565534511317,4,8,0.3622287000180222,0.04292252704755873,6.025795853181521,0.009926846720402876
test_8x8,naive,yaml_preset,0.0,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,6.6538471790694445,0.163440838690678,6,8,11.575658600020688,0.9999999999998683,inf,1.0
test_8x8,vchain,yaml_preset,0.0,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,7.838107526956222,0.03219391507566906,6,12,52.09898820001399,0.06662213838476592,4.347474840318299,0.060407871850313405
test_8x8,naive,yaml_preset,0.05,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,6.9631233850449235,5.882348947963278e-06,6,8,12.333055700000841,0.007812470986309765,7.8827668276280605,0.0058122633651503325
test_8x8,vchain,yaml_preset,0.05,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,7.437326002625319,-0.005529311155028447,6,12,49.76503130001947,0.011414980720697831,7.991134119853925,0.023939947408314774
test_8x8,naive,yaml_preset,0.1,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,6.328787453558874,-0.022950971215952905,6,8,12.637602599977981,0.007812519826152758,7.902262300047823,0.005784948463814283
test_8x8,vchain,yaml_preset,0.1,medium,Moderate synthetic depolarizing (order-of-magnitude NISQ-ish stress test).,data\experiment_presets\medium.yaml,linear,generic_linear,42,3,,3.5514432256310187,-0.27171232613998814,6,12,49.88000250002369,0.009289048852142717,7.893033598724713,0.004161840622585872
