image,seed,shots_cal,shots_data,rcond,p1_raw,p1_mitigated,topology,mock_backend,transpile_optimization_level,A_00,A_01,A_10,A_11,p1_mitigated_boot_p05,p1_mitigated_boot_p50,p1_mitigated_boot_p95
test_4x4,1,8000,12000,1e-06,0.5114166666666666,0.49703235688301745,full,generic_linear,0,0.92125,0.05075,0.07875,0.94925,0.4888856978747846,0.49693662645988895,0.5059448592762781
test_4x4,2,8000,12000,1e-06,0.50825,0.4862944162436547,full,generic_linear,0,0.910875,0.049,0.089125,0.951,0.4768044476673917,0.4861977278220932,0.49471597776166293
test_4x4,3,8000,12000,1e-06,0.5164166666666666,0.5027243357924682,full,generic_linear,0,0.918,0.053875,0.082,0.946125,0.4947152707459375,0.5027243357924682,0.5105357056752977
test_4x4,4,8000,12000,1e-06,0.5155,0.5033045977011494,full,generic_linear,0,0.922375,0.052375,0.077625,0.947625,0.4957327586206897,0.5042624521072797,0.512308429118774
test_4x4,5,8000,12000,1e-06,0.51875,0.5021576524741083,full,generic_linear,0,0.917625,0.048625,0.082375,0.951375,0.49245780590717303,0.5021576524741083,0.5108026467203682
test_4x4,6,8000,12000,1e-06,0.51725,0.5014326647564471,full,generic_linear,0,0.92025,0.04775,0.07975,0.95225,0.4924403056351481,0.5016236867239734,0.5106112702960841
test_4x4,7,8000,12000,1e-06,0.5173333333333333,0.5036091591376263,full,generic_linear,0,0.921625,0.05,0.078375,0.95,0.4946173335245473,0.5035135522730535,0.5120273435632681
test_4x4,8,8000,12000,1e-06,0.5095,0.49449291946788726,full,generic_linear,0,0.922625,0.04875,0.077375,0.95125,0.4859056882658656,0.4943975587660325,0.5039383969866019
test_4x4,9,8000,12000,1e-06,0.5149166666666667,0.4999760295316171,full,generic_linear,0,0.919625,0.0505,0.080375,0.9495,0.4913466609137543,0.4997842657845535,0.5082218706553526
test_4x4,10,8000,12000,1e-06,0.51725,0.503170942634765,full,generic_linear,0,0.919125,0.051875,0.080875,0.948125,0.49469587777457474,0.5032670318055155,0.5118285769193811
